tnum	tval	tname	tplateau
97	18	Cloud/Web Platforms	Two_to_five_years
97	18	Enterprise Social Networking Applications	Two_to_five_years
97	18	Social Learning Platform for Education	Less_than_two_years
100	20	Addressable TV Advertising	Two_to_five_years
100	20	Browser Client OS	Two_to_five_years
100	20	Dynamic Creative Optimization	Two_to_five_years
100	20	Enterprise Cloud Email	Two_to_five_years
100	20	Gesture Control	Two_to_five_years
107	24	Activity Streams	Two_to_five_years
107	24	Chromebooks	Two_to_five_years
113	28	Enterprise Information Archiving	Two_to_five_years
119	32	Bone Conduction	Five_to_10_years
119	32	Broadband for All	Five_to_10_years
119	32	Location-Aware Applications	Five_to_10_years
119	32	Rich Presence	Two_to_five_years
127	38	Mobile Advertising	Two_to_five_years
132	42	Mobile Advertising For Automotive	Five_to_10_years
132	42	Socialcasting	Two_to_five_years
136	45	Personal Cloud Synchronization and Sharing	Less_than_two_years
139	47	Cloud Email for Staff and Faculty	Less_than_two_years
139	47	Digital Ad Operations Platforms	Two_to_five_years
139	47	Mobile Social Networks	Less_than_two_years
139	47	Online Consumer Health Education and Advice	Less_than_two_years
142	49	Media Engagement and Viewability Metrics	Less_than_two_years
142	49	Unified Communications and Collaboration	Two_to_five_years
148	52	Native Mobile Development	Less_than_two_years
156	55	Consumer Telematics	Five_to_10_years
156	55	Utility GIS	Two_to_five_years
161	56	Internal Peer-to-Peer Communities	Less_than_two_years
161	56	Web Widgets	Less_than_two_years
166	57	Speech Recognition	Less_than_two_years
187	60	Consumer Digital Rights Management	Less_than_two_years
187	60	Navigation Solutions	Less_than_two_years
187	60	Web Analytics	Less_than_two_years
