tnum	tval	tname	tplateau
83	13	x86 Server Virtualization and Management	Two_to_five_years
88	14	Cloud Email for Staff and Faculty	Two_to_five_years
88	14	In-Memory Analytics	Less_than_two_years
88	14	Memory Overcommit	Two_to_five_years
88	14	Unified Communications ? India	Two_to_five_years
88	14	Virtual Switch	Less_than_two_years
93	16	Addressable TV Advertising	Five_to_10_years
93	16	Cloud/Web Platforms	Two_to_five_years
93	16	Desktop Virtualization	Two_to_five_years
93	16	Mobile Device Management	Five_to_10_years
93	16	Social Software Suites	Two_to_five_years
97	18	Gesture Control	Two_to_five_years
97	18	Identity Governance and Administration	Two_to_five_years
97	18	Virtualization	Two_to_five_years
100	20	BI Platforms in India	Five_to_10_years
100	20	Continuous Integration	Less_than_two_years
100	20	Hosted Virtual Desktops	Two_to_five_years
100	20	Information Life Cycle Management	Two_to_five_years
100	20	Interactive Visualization	Less_than_two_years
100	20	Large Surface Computers	Two_to_five_years
100	20	Process Style: Content Collaboration	Two_to_five_years
107	24	Enterprise Information Archiving	Two_to_five_years
107	24	Quality/Warranty Management	Two_to_five_years
107	24	Rich Presence	Two_to_five_years
107	24	Voice to Text on Mobile Devices	Five_to_10_years
113	28	Application Control	Less_than_two_years
113	28	Dynamic VOD TV Ads	Two_to_five_years
113	28	IT Event Correlation and Analysis Tools	Two_to_five_years
113	28	PC Application Virtualization	Less_than_two_years
119	32	Continuous Data Protection	Two_to_five_years
119	32	Database Encryption	Two_to_five_years
119	32	Enterprise Content Management Suites	Less_than_two_years
119	32	Mobile Advertising	Two_to_five_years
119	32	VM Live Migration	Less_than_two_years
123	35	Security Outsourcing	Less_than_two_years
127	38	Business Intelligence for Performance Management	Two_to_five_years
127	38	Content-Aware DLP for Email	Two_to_five_years
127	38	Handwriting Recognition	Two_to_five_years
127	38	Rich Media ? Live Streaming	Less_than_two_years
127	38	Storage Resource Management	Two_to_five_years
132	42	Composite Applications	Two_to_five_years
132	42	Email Encryption	Less_than_two_years
132	42	Mobile Devices in Dealerships	Two_to_five_years
132	42	Phone Bar Code Reader	Less_than_two_years
132	42	SIP Communications	Less_than_two_years
132	42	Shared OS Virtualization (Nonmainframe)	Two_to_five_years
132	42	Software as a Service (SaaS)	Less_than_two_years
132	42	Virtual Shopping	Two_to_five_years
136	45	Automobile eCall	Two_to_five_years
136	45	Enterprise Content Management	Two_to_five_years
136	45	Internal Peer-to-Peer Communities	Two_to_five_years
136	45	Media Engagement Metrics	Two_to_five_years
136	45	SIP-Enabled Contact Centers	Less_than_two_years
139	47	PLM-Centric Team Collaboration	Less_than_two_years
139	47	Web Widgets	Less_than_two_years
142	49	Consumer Web Mashup Tools	Obsolete_before_Plateau
142	49	Data Quality Tools	Less_than_two_years
142	49	Federated Portals Across Vendor Families	Less_than_two_years
142	49	Public-Key Operations	Two_to_five_years
142	49	Unified Communications and Collaboration	Two_to_five_years
142	49	User Administration/Provisioning	Two_to_five_years
142	49	Virtualization	Less_than_two_years
148	52	Consumer Telematics	Five_to_10_years
148	52	Sales Force Automation SaaS	Less_than_two_years
148	52	Speech Recognition for Contact Center Applications	Less_than_two_years
148	52	Strong Authentication for Enterprise Access	Two_to_five_years
148	52	Unified Communications	Two_to_five_years
148	52	User Administration/Provisioning	Obsolete_before_Plateau
148	52	Utility GIS	Two_to_five_years
156	55	Game Consoles as Media Hubs	Less_than_two_years
156	55	Rich Media on Demand	Less_than_two_years
161	56	B2B Gateway Software	Less_than_two_years
161	56	Client Management Tools	Less_than_two_years
161	56	Cloud Advertising	Less_than_two_years
161	56	Infrastructure Monitoring	Less_than_two_years
161	56	Mobile Data Protection	Two_to_five_years
161	56	Server-Based Replication	Less_than_two_years
161	56	Speech Recognition	Two_to_five_years
166	57	Network DVR	Less_than_two_years
172	58	Column-Store DBMS	Less_than_two_years
172	58	Consumer App Stores	Less_than_two_years
172	58	Mobile IM	Less_than_two_years
172	58	VM Hypervisor	Less_than_two_years
179	59	Bioinformatics and Chemoinformatics	Less_than_two_years
179	59	Consumer Digital Rights Management	Less_than_two_years
179	59	Dashboards	Less_than_two_years
179	59	Federated Identity Management	Less_than_two_years
179	59	Federated Search	Less_than_two_years
179	59	Grid Computing Without Public Cloud Computers	Less_than_two_years
179	59	Grid Computing Without Using Public Cloud Computers	Less_than_two_years
179	59	Order-to-Delivery Systems	Two_to_five_years
179	59	Records Management	Less_than_two_years
187	60	Database Appliances	Less_than_two_years
187	60	ESB Suites	Less_than_two_years
187	60	Email Continuity	Less_than_two_years
187	60	Event-Driven Architecture	Less_than_two_years
187	60	Mashups	Less_than_two_years
187	60	Mobile Search	Less_than_two_years
187	60	Secure Email Gateway	Less_than_two_years
