tnum	tval	tname	tplateau
29	83	Cloud-Based Backup Services	Five_to_10_years
29	83	In-Memory Computing	Five_to_10_years
29	83	Intelligent Transportation Systems	Five_to_10_years
29	83	Personal Cloud Entertainment Platforms	Five_to_10_years
29	83	UXPs	Five_to_10_years
29	83	Web Real-Time Communications	Five_to_10_years
30	88	Citizen Data Vaults	More_than_10_years
30	88	Cloud MOM Services	Two_to_five_years
30	88	Connecting Technology	Two_to_five_years
30	88	Embedded Hypervisor	Five_to_10_years
30	88	Enterprise-Class Agile Development	Five_to_10_years
30	88	Expertise Location and Management	Two_to_five_years
30	88	Portal PaaS	Five_to_10_years
32	93	ADLM PaaS	Five_to_10_years
32	93	Agent Collaboration Tools	Two_to_five_years
32	93	Collaborative Authoring Tools	Five_to_10_years
32	93	Governed Data Discovery	Two_to_five_years
32	93	Hosted Virtual Desktops	Five_to_10_years
32	93	Integrated Marketing Management	Five_to_10_years
32	93	Server Software Appliance	Two_to_five_years
32	93	Speech-to-Speech Translation	Five_to_10_years
35	98	Big Data in China	Five_to_10_years
35	98	Cloud Computing	Two_to_five_years
35	98	Cloud Computing in Manufacturing Operations	Five_to_10_years
35	98	Compliant GxP Cloud Services	Five_to_10_years
35	98	Enterprise Integration PaaS (iPaaS)	Two_to_five_years
35	98	IT/OT Convergence in Manufacturing	Five_to_10_years
35	98	Intelligent Business Operations	Two_to_five_years
35	98	Operational In-Memory DBMS	Two_to_five_years
40	100	Cloud Management Platforms	Five_to_10_years
40	100	EMM/MDM Security Capabilities	Five_to_10_years
40	100	Internet of Things	Five_to_10_years
40	100	Natural-Language Question Answering	Five_to_10_years
45	98	Big Data in Life Science R&D	Five_to_10_years
45	98	IT GRCM	Five_to_10_years
45	98	Internet of Things for Manufacturing Operations	Five_to_10_years
48	95	Context-Enriched Services	Two_to_five_years
48	95	Presence-Based Contact Routing	Two_to_five_years
48	95	Social Content	Two_to_five_years
48	95	UX Tools	Five_to_10_years
49	93	Cloud-Driven Business and IT Services	Two_to_five_years
49	93	Complex-Event Processing	Five_to_10_years
49	93	Desktop Virtualization	Five_to_10_years
49	93	Mobile Virtual Assistants	Five_to_10_years
49	93	Platform as a Service (PaaS)	Two_to_five_years
49	93	SaaS	Five_to_10_years
50	90	Cloud Service Brokerage	Five_to_10_years
50	90	Employee Use of Social Media in Government	Two_to_five_years
50	90	Financial Services Industry Architecture Frameworks	Two_to_five_years
50	90	Multihypervisor Virtualization Management	Two_to_five_years
50	90	Vehicle Information Hub	Two_to_five_years
50	90	Virtual Customer Assistants	Two_to_five_years
50	90	Virtual Machine Resilience	Two_to_five_years
51	87	Application PaaS (aPaaS)	Two_to_five_years
51	87	Cloud-Based Grid Computing	Less_than_two_years
51	87	IDaaS	Five_to_10_years
51	87	Proactive Support	Less_than_two_years
52	83	ERP App Stores/Marketplaces	Two_to_five_years
52	83	In-Memory Database Management Systems	Two_to_five_years
52	83	Mobile Claims Apps	Two_to_five_years
52	83	Requirements Elicitation and Simulation	Two_to_five_years
52	83	Test Data Management	Two_to_five_years
53	79	Car Connectivity Consortium	Five_to_10_years
53	79	IT Service Failover Automation for DR	Five_to_10_years
53	79	Mobile Application Security Testing	Two_to_five_years
53	79	VoIP Wireless WAN	Five_to_10_years
54	73	Federated ADLM Suites	Two_to_five_years
54	73	IT Process Automation Tools	Five_to_10_years
54	73	Operational Technology Security	Five_to_10_years
55	68	OMA Device Management	Five_to_10_years
56	62	Analytical In-Memory DBMS	Two_to_five_years
56	62	Application Performance Monitoring	Five_to_10_years
56	62	Cloud Testing Tools and Service	Two_to_five_years
56	62	Database Platform as a Service	Two_to_five_years
56	62	EHR-Based Clinical Studies	Five_to_10_years
56	62	High-Assurance Hypervisors	Five_to_10_years
56	62	Hybrid Cloud Computing	Two_to_five_years
56	62	Mobile Device Integration Into Automobiles	Two_to_five_years
56	62	Operations Intelligence	Five_to_10_years
56	62	Payment Architectural Frameworks	Two_to_five_years
56	62	Private Cloud Computing	Two_to_five_years
56	62	Virtual Machine Backup and Recovery	Two_to_five_years
57	56	Mobile Technology for Manufacturing Operations	Two_to_five_years
57	56	Sales Force Automation	Two_to_five_years
57	56	Unified Communications	Five_to_10_years
57	56	V2P Server Management	Two_to_five_years
58	51	Business Intelligence and Analytics Platforms	Five_to_10_years
58	51	CRM	Two_to_five_years
58	51	Communications-Enabled Business Processes	Two_to_five_years
58	51	Event-Driven Architecture for Government	Two_to_five_years
58	51	Private Cloud Computing	Two_to_five_years
58	51	Private IaaS	Two_to_five_years
58	51	SOA Backplane	Two_to_five_years
59	46	Cross-Agency Case Management	Two_to_five_years
59	46	Real-Time Bidding (Advertising)	Two_to_five_years
61	40	Business Service Management Tools	Five_to_10_years
61	40	Hypervisor Security Protection	Two_to_five_years
61	40	In-Memory Data Grids	Two_to_five_years
61	40	Long-Distance Live VM Migration	Two_to_five_years
61	40	Real-Time Infrastructure	Five_to_10_years
63	35	Cloud Computing in Government	Two_to_five_years
63	35	Data Warehouse Platform as a Service (dwPaaS)	Two_to_five_years
63	35	Mobile VoIP	Two_to_five_years
63	35	Multicore Programming	Two_to_five_years
63	35	Semantic Web	Five_to_10_years
63	35	Virtualization Software Licensing	Five_to_10_years
66	29	Complex-Event Processing Software Platforms	Two_to_five_years
66	29	Mobility in Manufacturing Operations	Two_to_five_years
66	29	Operational Technology Platform Convergence	Five_to_10_years
66	29	Public Cloud Storage	Two_to_five_years
66	29	Server Provisioning and Configuration Management	Five_to_10_years
68	26	Cloud Office Systems	Two_to_five_years
73	20	Cloud Computing	Two_to_five_years
73	20	Cloud UC (UCaaS)	Two_to_five_years
73	20	Embedded Software and Electronics Design	Five_to_10_years
73	20	HTML5	Five_to_10_years
73	20	Open Any Data in Government	Five_to_10_years
73	20	Personal Health Record	Obsolete_before_Plateau
78	15	Functional Programming Languages	Two_to_five_years
78	15	PC Hypervisors	Two_to_five_years
78	15	SOA in Manufacturing Operations	More_than_10_years
83	13	Business Service Management Tools	More_than_10_years
83	13	Enterprise Digital Rights Management	More_than_10_years
83	13	Mobile Cloud	Two_to_five_years
83	13	Service-Oriented Architecture in OSS/BSS and SDP	Two_to_five_years
88	14	802.11af	Two_to_five_years
88	14	802.22	Five_to_10_years
88	14	AMQP	Two_to_five_years
88	14	Automotive HMI Technologies	Five_to_10_years
88	14	Integrated Clinical/Business Enterprise Data Warehouse	Five_to_10_years
88	14	Mobile Web Apps	Two_to_five_years
88	14	SaaS Archiving of Messaging Data	Two_to_five_years
93	16	Advanced Clinical Research Information Systems	Two_to_five_years
93	16	Branded Content Management	Two_to_five_years
93	16	Cloud HPC/CaaS	Two_to_five_years
93	16	Project and Portfolio Management	Five_to_10_years
97	18	Cloud/Web Platforms	Two_to_five_years
97	18	Desktop Virtualization	Two_to_five_years
97	18	Distributed Versioning	Two_to_five_years
97	18	Enterprise Social Networking Applications	Two_to_five_years
97	18	Social Learning Platform for Education	Less_than_two_years
100	20	Addressable TV Advertising	Two_to_five_years
100	20	Enterprise Cloud Email	Two_to_five_years
100	20	Gesture Control	Two_to_five_years
100	20	Identity Governance and Administration	Two_to_five_years
100	20	In-Memory Analytics	Less_than_two_years
100	20	Mobile Device Management for Healthcare Provider	Five_to_10_years
107	24	Activity Streams	Two_to_five_years
107	24	BI Platforms in India	Two_to_five_years
107	24	Hosted Virtual Desktops	Two_to_five_years
107	24	Information Life Cycle Management	Two_to_five_years
107	24	Memory Overcommit	Less_than_two_years
107	24	On-Premises CEC	Less_than_two_years
113	28	Enterprise Information Archiving	Two_to_five_years
113	28	Interactive Visualization	Less_than_two_years
113	28	Partner Relationship Management	Two_to_five_years
119	32	Broadband for All	Five_to_10_years
119	32	IT Event Correlation and Analysis Tools	Two_to_five_years
119	32	Rich Presence	Two_to_five_years
119	32	Social Profiles	Less_than_two_years
123	35	Application Control	Less_than_two_years
123	35	Dynamic VOD TV Ads	Two_to_five_years
123	35	Enterprise Content Management Suites	Less_than_two_years
123	35	Process Style: Content Collaboration	Less_than_two_years
123	35	Virtual Switch	Less_than_two_years
127	38	Continuous Data Protection	Less_than_two_years
127	38	Mobile Advertising	Two_to_five_years
132	42	Continuous Integration	Less_than_two_years
132	42	Database Encryption	Two_to_five_years
132	42	Handwriting Recognition	Two_to_five_years
132	42	Storage Resource Management	Two_to_five_years
136	45	Personal Cloud Synchronization and Sharing	Less_than_two_years
136	45	Software as a Service (SaaS)	Less_than_two_years
139	47	Cloud Email for Staff and Faculty	Less_than_two_years
139	47	Content-Aware DLP for Email	Two_to_five_years
139	47	PLM-Centric Team Collaboration	Two_to_five_years
142	49	Email Encryption	Less_than_two_years
142	49	Enterprise Content Management	Two_to_five_years
142	49	Lead Management	Less_than_two_years
142	49	SIP Communications	Less_than_two_years
142	49	SIP-Enabled Contact Centers	Less_than_two_years
142	49	Unified Communications	Two_to_five_years
142	49	Unified Communications and Collaboration	Two_to_five_years
142	49	User Administration/Provisioning	Two_to_five_years
148	52	Composite Applications	Less_than_two_years
148	52	Data Quality Tools	Less_than_two_years
148	52	Mobile Sales Force Automation for Opportunity Management	Less_than_two_years
148	52	Native Mobile Development	Less_than_two_years
148	52	Public-Key Operations	Two_to_five_years
148	52	Speech Recognition for Contact Center Applications	Less_than_two_years
148	52	Virtual Store Research	Two_to_five_years
156	55	Consumer Telematics	Five_to_10_years
156	55	Sales Force Automation SaaS	Less_than_two_years
156	55	Utility GIS	Two_to_five_years
156	55	VM Live Migration	Less_than_two_years
156	55	Virtualization	Less_than_two_years
161	56	Internal Peer-to-Peer Communities	Less_than_two_years
161	56	REST	Less_than_two_years
161	56	Strong Authentication for Enterprise Access	Two_to_five_years
161	56	Web Widgets	Less_than_two_years
166	57	Mobile Data Protection	Two_to_five_years
166	57	Rich Media on Demand	Less_than_two_years
166	57	Speech Recognition	Less_than_two_years
172	58	Game Consoles as Media Hubs	Less_than_two_years
172	58	Server-Based Replication	Less_than_two_years
179	59	Dashboards	Less_than_two_years
179	59	Federated Identity Management	Less_than_two_years
179	59	VM Hypervisor	Less_than_two_years
187	60	B2B Gateway Software	Less_than_two_years
187	60	Bioinformatics and Cheminformatics	Less_than_two_years
187	60	Client Management Tools	Less_than_two_years
187	60	Consumer Digital Rights Management	Less_than_two_years
187	60	Email Continuity	Less_than_two_years
187	60	Federated Search	Less_than_two_years
187	60	Phone Bar Code Reader	Less_than_two_years
187	60	Rich Media ? Live Streaming	Less_than_two_years
187	60	Secure Email Gateway	Less_than_two_years
